LATITUDE,LONGITUDE,source,in_odis,description
-12.4218,-38.2773,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: SPE Miranga
-5.4756,-37.5866,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-5.4766,-37.5997,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-12.4272,-38.2765,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: SPE Miranga
-5.4754,-37.5936,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-5.0663,-37.1711,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.591,-38.6245,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Candeias  S.A.
-11.9218,-37.8754,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.3327,-38.1848,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: SPE Miranga
-5.133,-37.2003,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.8956,-37.8928,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.9309,-36.3388,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7514,-36.1176,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1268,-37.2085,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1724,-37.2487,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7408,-36.1358,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1816,-37.2663,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.776,-36.1653,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1788,-37.2443,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.7793,-37.6118,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7546,-36.1444,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-9.7533,-36.1514,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-4.7775,-37.619,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.7395,-37.6188,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.731,-36.1256,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-4.7666,-37.6082,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7654,-36.1683,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-4.7395,-37.5954,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.7395,-37.6062,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-15.2937,-38.8684,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: None
-5.3928,-36.8535,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.4003,-36.9335,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.8325,-39.6705,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2713,-37.1747,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-21.8328,-39.6702,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.4313,-37.5304,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-22.466,-40.4687,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.0611,-39.4451,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.4508,-40.4117,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.537,-40.27,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.5593,-39.396,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6387,-36.984,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.9424,-39.52,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6241,-36.9403,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-20.1987,-39.7205,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.0832,-38.0274,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3978,-36.8864,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-20.2951,-39.7432,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1503,-37.2344,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-18.1337,-39.2202,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.2461,-40.0121,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1078,-37.1483,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1798,-37.2476,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.709,-44.8183,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Eneva
-22.6617,-40.4095,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Shell Brasil
